stop_id,daily_trip_count,stop_name,stop_lat,stop_lon,wheelchair_boarding,nearest_commune
1079,250,Gares,47.996108,0.192407,1,Le Mans
2547,230,Mairie Le Mans,48.006837,0.197433,1,Le Mans
2546,214,Mairie Le Mans,48.006674,0.19707,1,Le Mans
2348,214,Gare routière,47.996926,0.190323,1,Le Mans
3095,198,St-Exupéry,48.000451,0.211705,2,Le Mans
2571,198,Mariette,47.998735,0.213381,2,Le Mans
2299,198,Erpell,48.002754,0.204967,2,Le Mans
2322,198,Flore,48.001667,0.209117,2,Le Mans
2755,198,Sécurité Sociale,47.996792,0.219838,2,Le Mans
2756,196,Sécurité Sociale,47.997153,0.218605,2,Le Mans
2883,196,Comtes du Maine,48.004092,0.200496,1,Le Mans
3094,196,St-Exupéry,48.000496,0.211812,2,Le Mans
2572,196,Mariette,47.99901,0.213401,2,Le Mans
2298,196,Erpell,48.002684,0.205461,2,Le Mans
2323,196,Flore,48.001785,0.208944,2,Le Mans
2624,193,Oasis-Centre des Expositions,47.960605,0.200395,1,Arnage
2783,188,St-Joseph,47.984409,0.141987,2,Rouillon
3323,186,Éperon,48.005381,0.194055,1,Le Mans
2687,185,Pontlieue-Geneslay,47.982396,0.210125,2,Le Mans
2688,184,Pontlieue-Geneslay,47.982666,0.210409,2,Le Mans
2795,176,St-Martin,47.985701,0.209411,1,Le Mans
2790,173,St-Martin,47.985928,0.209441,1,Le Mans
1085,160,Lycée André Malraux,47.956335,0.165854,1,Allonnes
1074,160,Centre Culturel Jean Carmet,47.967861,0.160169,1,Allonnes
1081,160,Centre Hospitalier Spécialisé,47.959235,0.165574,1,Allonnes
1096,160,Stade Georges Garnier,47.972953,0.158726,1,Allonnes
2357,155,Gazonfier,48.005421,0.227038,1,Le Mans
1091,155,Novaxud,47.994338,0.185546,1,Le Mans
1095,155,Pêcheurs,47.99005,0.182277,1,Le Mans
1090,155,Novaxud,47.994467,0.185715,1,Le Mans
1094,155,Pêcheurs,47.989921,0.182121,1,Le Mans
1073,152,Centre Culturel Jean Carmet,47.967469,0.160372,1,Allonnes
2689,152,Pontlieue-Jean Mac,47.982725,0.212033,1,Le Mans
1080,152,Centre Hospitalier Spécialisé,47.960215,0.16552,1,Allonnes
1097,152,Stade Georges Garnier,47.973358,0.158723,1,Allonnes
1084,152,Lycée André Malraux,47.956498,0.165928,1,Allonnes
2349,151,Gare Sud,47.994986,0.189882,2,Le Mans
2690,150,Pontlieue-Jean Mac,47.982912,0.21191,1,Le Mans
3313,145,Médiathèque,48.002798,0.193005,2,Le Mans
3275,144,Médiathèque,48.002783,0.193231,1,Le Mans
2342,142,Funay,47.985037,0.225264,2,Le Mans
2261,142,Diesel,47.982625,0.225707,2,Le Mans
2540,142,Lycée Sud,47.982392,0.228642,1,Le Mans
2191,140,Chêne Vert,48.008149,0.189535,1,Le Mans
2124,140,Bouttié,48.010927,0.189087,1,Le Mans
2713,139,République,48.003495,0.197426,1,Le Mans
2343,137,Funay,47.985267,0.225346,2,Le Mans
2539,137,Lycée Sud,47.982472,0.228195,1,Le Mans
2262,137,Diesel,47.983262,0.22571,2,Le Mans
1086,131,Mairie Allonnes,47.970072,0.159582,1,Allonnes
1089,131,Martin-Bréguet,47.976344,0.167871,1,Allonnes
1092,131,Patte d'Oie,47.978429,0.173091,1,Le Mans
1082,131,Les Hautes Métairies,47.95259,0.165258,1,Allonnes
1072,131,Allonnes-Bois Joli,47.950152,0.162854,1,Allonnes
1076,131,Collège Kennedy,47.965283,0.161829,1,Allonnes
2882,126,Colonel Raynal,47.99988,0.185562,1,Le Mans
1070,124,Angevinière,47.985056,0.178327,1,Le Mans
1069,124,Angevinière,47.985185,0.178482,1,Le Mans
1078,124,Gares,47.995788,0.193448,1,Le Mans
1093,124,Patte d'Oie,47.978557,0.173247,1,Le Mans
1075,122,Collège Kennedy,47.965444,0.161782,1,Allonnes
1087,122,Mairie Allonnes,47.970271,0.159614,1,Allonnes
1083,122,Les Hautes Métairies,47.952719,0.165427,1,Allonnes
1071,122,Allonnes-Bois Joli,47.950447,0.16323,1,Allonnes
1088,122,Martin-Bréguet,47.976393,0.168097,1,Allonnes
2254,121,De Gaulle,48.004026,0.198909,1,Le Mans
2231,119,Comtes du Maine,48.004642,0.199738,1,Le Mans
2398,115,Mairie Arnage,47.926958,0.187426,1,Arnage
2245,114,Cugnot,47.981529,0.218364,1,Le Mans
2036,114,Arromanches,47.985736,0.224819,1,Le Mans
2144,113,Californie,47.984657,0.24015,1,Le Mans
2182,113,Chasse Royale,48.014815,0.186601,1,Le Mans
2183,113,Chasse Royale,48.014577,0.186838,1,Le Mans
2165,113,CFA,47.983258,0.233928,2,Le Mans
2219,113,Cochereaux,48.012582,0.18803,1,Le Mans
2145,112,Californie,47.984712,0.240313,1,Le Mans
2037,112,Arromanches,47.985578,0.224407,1,Le Mans
3320,112,Cugnot,47.981683,0.218136,1,Le Mans
2166,112,CFA,47.9831,0.233414,2,Le Mans
2461,111,La Paix,48.024141,0.202291,1,Coulaines
3104,111,Louis Blanc,48.009601,0.195769,1,Le Mans
2509,111,Léon Tolstoï,48.019427,0.209701,1,Coulaines
2048,111,Banjan,48.016222,0.202283,1,Coulaines
2797,111,St-Michel,48.021418,0.201785,1,Coulaines
3101,111,Passerelle,48.013323,0.199315,1,Coulaines
2638,111,Palmiers,48.018826,0.201657,1,Coulaines
2651,111,Paul-Louis Jacques,48.018445,0.208338,2,Coulaines
2311,111,Europe,48.022038,0.206759,1,Coulaines
2274,111,Église Coulaines,48.024159,0.2048,1,Coulaines
2236,111,Copenhague,48.01996,0.20629,2,Coulaines
2796,110,St-Michel,48.021377,0.201565,1,Coulaines
2050,110,Banjan,48.016127,0.202047,1,Coulaines
2639,110,Palmiers,48.018753,0.201423,1,Coulaines
2273,108,Église Coulaines,48.023909,0.205258,1,Coulaines
2508,108,Léon Tolstoï,48.019038,0.209882,1,Coulaines
2235,108,Copenhague,48.019636,0.206401,2,Coulaines
2460,108,La Paix,48.024215,0.202296,1,Coulaines
2310,108,Europe,48.021875,0.206841,1,Coulaines
2650,108,Paul-Louis Jacques,48.018389,0.208914,2,Coulaines
2078,108,Bellevue-Hauts de Coulaines,48.020235,0.212,1,Coulaines
2859,107,Vieux Colombier,47.989188,0.167175,1,Le Mans
2778,107,St-Georges,47.983816,0.150278,1,Rouillon
2328,107,Folleray,47.985963,0.163656,1,Rouillon
2016,106,Alfred de Vigny,48.002029,0.227936,1,Le Mans
2176,106,Charbonnière,48.003082,0.230384,1,Le Mans
2574,106,Marivaux,47.999482,0.227633,1,Le Mans
2387,106,Guillaume Apollinaire,47.999987,0.23126,1,Le Mans
2329,106,Folleray,47.986001,0.163963,1,Rouillon
2804,106,Sully Prudhomme,48.00157,0.231007,1,Le Mans
2858,106,Vieux Colombier,47.989847,0.167917,1,Le Mans
2478,105,Lazare Weiller,47.967232,0.202924,2,Le Mans
2577,105,Maroc,47.972089,0.205105,2,Le Mans
2210,105,Cité Joly,47.975502,0.206819,2,Le Mans
2724,105,Ronceray,47.973825,0.206063,2,Le Mans
2749,105,Sapins,47.97996,0.208961,2,Le Mans
2432,105,Jules Védrines,47.964785,0.201816,2,Le Mans
2887,103,Jules Védrines,47.965278,0.202276,2,Le Mans
2750,103,Sapins,47.980146,0.209266,2,Le Mans
2479,103,Lazare Weiller,47.967378,0.203268,2,Le Mans
2184,103,Château d'Eau,47.969395,0.204226,2,Le Mans
2209,103,Cité Joly,47.975852,0.207256,2,Le Mans
2576,103,Maroc,47.971112,0.205008,2,Le Mans
2725,103,Ronceray,47.973887,0.206346,2,Le Mans
2803,102,Sully Prudhomme,48.00164,0.230921,1,Le Mans
2017,102,Alfred de Vigny,48.002203,0.227548,1,Le Mans
2175,102,Charbonnière,48.003077,0.230588,1,Le Mans
2388,102,Guillaume Apollinaire,47.999942,0.231662,1,Le Mans
2108,102,Bollée,47.99781,0.223274,1,Le Mans
2573,102,Marivaux,47.999366,0.227991,1,Le Mans
2109,98,Bollée,47.996543,0.222932,1,Le Mans
2853,96,Viaducs,47.993042,0.204544,1,Le Mans
2699,94,Pyrénées,47.992827,0.225367,1,Le Mans
2291,94,Éperon,48.005452,0.195516,1,Le Mans
3057,86,Four à Chanvre,48.060491,0.14125,1,La-Milesse
2470,85,Lafayette,48.006813,0.189912,1,Le Mans
2198,84,Cimetière St-Georges,47.995252,0.177521,1,Le Mans
2003,84,Acacias,47.998295,0.181042,1,Le Mans
2332,84,Les Fontenelles,48.020698,0.225849,1,Coulaines
2317,84,Fernand Tavano,47.992086,0.172704,1,Le Mans
2188,84,Chaumard,47.996632,0.1793,1,Le Mans
2879,84,Zamenhof,48.017747,0.217795,1,Coulaines
2739,84,Rue du Loir,47.987744,0.166303,1,Le Mans
2594,84,Montaigu,47.984154,0.156816,1,Rouillon
2786,84,St-Lazare,47.999785,0.182254,1,Le Mans
2632,84,Pagès,47.994266,0.176261,1,Le Mans
2888,84,Le Clos,47.984899,0.161202,2,Rouillon
2434,84,Kaboul,48.01935,0.222889,1,Coulaines
3119,83,Louis Blanc,48.010436,0.196376,1,Le Mans
2595,83,Montaigu,47.983989,0.156441,1,Rouillon
2483,83,Le Clos,47.985207,0.16215,1,Rouillon
2197,83,Cimetière St-Georges,47.995461,0.177942,2,Le Mans
3120,83,Passerelle,48.013793,0.199665,2,Coulaines
2190,83,Chaumard,47.996924,0.1799,1,Le Mans
2316,83,Fernand Tavano,47.991772,0.172392,1,Le Mans
3281,83,St-Lazare,48.000006,0.182642,1,Le Mans
3288,83,Colonel Raynal,47.999489,0.186176,1,Le Mans
2779,83,St-Georges,47.983683,0.151587,1,Rouillon
3321,83,Palais des Congrès,48.001326,0.192041,2,Le Mans
2079,83,Bellevue-Hauts de Coulaines,48.019994,0.211932,1,Coulaines
2740,83,Rue du Loir,47.988093,0.166648,1,Le Mans
2631,83,Pagès,47.994205,0.176322,1,Le Mans
2635,83,Palais des Congrès,48.000804,0.192295,1,Le Mans
2285,82,Émile Delahaye,48.038361,0.172661,1,La-Chapelle-Saint-Aubin
3009,82,Les Verts,48.037109,0.177428,1,La-Chapelle-Saint-Aubin
2169,81,Champ de Mars,47.982241,0.207143,1,Le Mans
2499,80,Le Verger,48.031439,0.204909,1,Coulaines
2170,80,Champ de Mars,47.982454,0.206931,1,Le Mans
2448,78,La Fuie,47.997952,0.200625,1,Le Mans
2864,78,Washington,47.995612,0.202365,1,Le Mans
2856,78,Viaducs,47.992981,0.204297,1,Le Mans
2694,78,Préfecture,48.001063,0.197841,1,Le Mans
2857,78,Victor Hugo,47.999199,0.199944,2,Le Mans
2405,77,Ifs,48.001192,0.202678,1,Le Mans
2865,77,Washington,47.995628,0.203104,1,Le Mans
2172,77,Chanzy,47.998454,0.203003,1,Le Mans
2267,74,Dunkerque,48.018215,0.183546,1,Coulaines
2463,74,La Rochelle,48.020834,0.180202,1,La-Chapelle-Saint-Aubin
2229,74,Colonel Quéru,48.01681,0.184448,1,Coulaines
2294,74,Épine,48.019698,0.181745,1,Coulaines
2193,74,Cheverny,48.023444,0.17608,1,La-Chapelle-Saint-Aubin
2770,74,Ste-Catherine,48.022353,0.178053,1,La-Chapelle-Saint-Aubin
2266,73,Dunkerque,48.017653,0.183838,1,Coulaines
2464,73,La Rochelle,48.02059,0.180413,1,Coulaines
2441,73,Myosotis,48.03722,0.156727,1,La-Chapelle-Saint-Aubin
2228,73,Colonel Quéru,48.016763,0.184365,1,Coulaines
2771,73,Ste-Catherine,48.022953,0.177471,1,La-Chapelle-Saint-Aubin
2662,73,Petite Croix,48.025321,0.171045,1,La-Chapelle-Saint-Aubin
2874,73,Zone Industrielle Nord,48.02408,0.176388,2,La-Chapelle-Saint-Aubin
2295,73,Épine,48.019404,0.182005,1,Coulaines
3010,71,Léard,48.025798,0.181236,1,La-Chapelle-Saint-Aubin
2789,71,St-Liboire,48.017033,0.18555,1,Coulaines
2788,71,St-Liboire,48.017243,0.18554,1,Coulaines
2599,71,Montsaulnière,48.020814,0.183883,1,Coulaines
3011,71,Léard,48.026014,0.181413,1,Coulaines
2524,71,Les Palis,48.023249,0.182719,1,Coulaines
3229,71,Kergomard,48.012314,0.190254,1,Le Mans
2525,71,Les Palis,48.023037,0.182548,1,Coulaines
2440,71,La Calandre,48.010289,0.193944,1,Le Mans
2598,71,Montsaulnière,48.020997,0.183537,1,Coulaines
2302,70,Espal,47.994626,0.234166,1,Le Mans
2192,70,Chêne Vert,48.008113,0.189684,1,Le Mans
2504,70,Léon Blum,47.995428,0.227667,1,Le Mans
2032,70,Ardoise,48.009034,0.226706,1,Coulaines
2381,70,Gué Bernisson,47.99201,0.237565,1,Le Mans
2040,70,Aubrac,47.993423,0.223775,1,Le Mans
2657,70,Perdrix,48.010125,0.225536,1,Coulaines
2753,70,Savorgnan de Brazza,48.01203,0.223688,1,Coulaines
2029,70,Arche de la Nature,47.988141,0.243488,1,Le Mans
2825,70,Tristan Bernard,48.013405,0.222331,1,Coulaines
