snapshot_ts,alert_id,routes,header
1788533052,21,5,TEST MESSAGE SERVEUR IV
1788533227,21,5,TEST MESSAGE SERVEUR IV
1788533380,21,5,TEST MESSAGE SERVEUR IV
1788544275,21,5,TEST MESSAGE SERVEUR IV
1788553509,21,5,TEST MESSAGE SERVEUR IV
1788567669,19,5,TEST MESSAGE SERVEUR IV
1788583918,19,5,TEST MESSAGE SERVEUR IV
1788598388,19,5,TEST MESSAGE SERVEUR IV
1788611335,19,5,TEST MESSAGE SERVEUR IV
1788622207,19,5,TEST MESSAGE SERVEUR IV
1788629621,19,5,TEST MESSAGE SERVEUR IV
1788636812,19,5,TEST MESSAGE SERVEUR IV
1788644673,19,5,TEST MESSAGE SERVEUR IV
1788657365,19,5,TEST MESSAGE SERVEUR IV
1788674572,19,5,TEST MESSAGE SERVEUR IV
1788692352,19,5,TEST MESSAGE SERVEUR IV
1788703593,19,5,TEST MESSAGE SERVEUR IV
1788714319,19,5,TEST MESSAGE SERVEUR IV
1788721993,19,5,TEST MESSAGE SERVEUR IV
1788729874,19,5,TEST MESSAGE SERVEUR IV
1788742418,16,5,TEST MESSAGE SERVEUR IV
1788760045,16,5,TEST MESSAGE SERVEUR IV
1788781774,16,5,TEST MESSAGE SERVEUR IV
1788801997,16,5,TEST MESSAGE SERVEUR IV
1788813906,16,5,TEST MESSAGE SERVEUR IV
1788830076,16,5,TEST MESSAGE SERVEUR IV
1788847337,16,5,TEST MESSAGE SERVEUR IV
1788866518,16,5,TEST MESSAGE SERVEUR IV
1788880565,16,5,TEST MESSAGE SERVEUR IV
1788893270,16,5,TEST MESSAGE SERVEUR IV
1788903569,16,5,TEST MESSAGE SERVEUR IV
1788917714,16,5,TEST MESSAGE SERVEUR IV
1788936267,16,5,TEST MESSAGE SERVEUR IV
1788955041,16,5,TEST MESSAGE SERVEUR IV
