snapshot_ts,route_id,n_trips_observed,n_stop_updates,n_skipped,avg_delay_s,max_delay_s
1788533052,10B,5,190,20,-1.7,173
1788533052,10A,6,234,30,-14.2,152
1788533052,11,8,108,0,20.1,269
1788533052,12,9,202,0,174.6,897
1788533052,13,7,183,0,-16.0,68
1788533052,14,10,245,0,-30.8,54
1788533052,15,7,232,0,39.0,289
1788533052,16,10,250,50,-30.9,269
1788533052,20,7,195,0,129.7,513
1788533052,21,4,85,0,-1.3,49
1788533052,8,14,521,7,-8.5,147
1788533052,22,6,138,0,47.4,325
1788533052,23,6,126,3,30.1,288
1788533052,24,6,144,0,578.3,1354
1788533052,25,6,202,52,-17.0,216
1788533052,26,7,117,0,31.1,214
1788533052,28,9,332,86,13.6,197
1788533052,32,3,36,8,-44.0,3
1788533052,33,4,32,0,-45.0,0
1788533052,34,2,16,0,-60.0,0
1788533052,5,18,477,9,20.7,347
1788533052,6,19,405,28,18.1,410
1788533052,7,7,168,0,71.5,408
1788533052,C4,20,600,0,94.0,751
1788533052,T1,34,816,0,-11.8,146
1788533052,T2,23,414,0,-25.7,89
1788533052,T3,25,350,0,-10.1,189
1788533227,10B,5,190,20,-1.8,173
1788533227,10A,6,234,30,-20.2,208
1788533227,11,8,108,0,19.7,269
1788533227,12,9,202,0,197.8,1003
1788533227,13,7,183,0,-17.5,69
1788533227,14,10,245,0,-32.8,33
1788533227,15,7,232,0,42.0,325
1788533227,16,9,224,44,-31.6,247
1788533227,20,8,224,0,118.1,519
1788533227,21,4,85,0,13.7,80
1788533227,8,14,521,7,4.0,275
1788533227,22,6,138,0,44.0,325
1788533227,23,6,126,3,30.3,288
1788533227,24,6,144,0,605.6,1400
1788533227,25,6,202,52,-2.5,194
1788533227,26,7,117,0,20.3,214
1788533227,28,9,332,86,33.1,274
1788533227,32,3,36,8,-32.8,18
1788533227,33,4,32,0,-45.0,0
1788533227,34,2,16,0,-60.0,0
1788533227,5,19,503,10,29.5,347
1788533227,6,19,405,28,12.3,410
1788533227,7,7,168,0,83.8,408
1788533227,C4,21,630,0,96.6,751
1788533227,T1,34,816,0,-10.3,192
1788533227,T2,23,414,0,-28.0,87
1788533227,T3,25,350,0,-7.6,255
1788533380,10B,5,190,20,-4.6,173
1788533380,10A,6,234,30,-12.8,204
1788533380,11,8,108,0,26.4,262
1788533380,12,9,202,0,199.4,1028
1788533380,13,7,183,0,-14.5,101
1788533380,14,10,245,0,-29.0,101
1788533380,15,6,198,0,-12.1,371
1788533380,16,9,224,44,-36.3,231
1788533380,20,7,195,0,115.3,523
1788533380,21,4,85,0,49.1,230
1788533380,8,14,521,7,4.0,296
1788533380,22,6,138,0,40.4,325
1788533380,23,5,105,2,22.6,288
1788533380,24,6,144,0,601.0,1402
1788533380,25,6,202,52,14.1,194
1788533380,26,7,117,0,24.7,214
1788533380,28,9,332,86,24.0,235
1788533380,32,3,36,8,-40.3,18
1788533380,33,4,32,0,-45.0,0
1788533380,34,2,16,0,-60.0,0
1788533380,5,19,503,10,35.4,401
1788533380,6,18,383,26,22.9,410
1788533380,7,7,168,0,126.5,453
1788533380,C4,22,660,0,100.8,751
1788533380,T1,35,840,0,-10.4,218
1788533380,T2,24,432,0,-23.8,92
1788533380,T3,25,350,0,-5.3,240
1788544275,10B,3,114,12,-5.9,308
1788544275,10A,3,117,15,-12.8,115
1788544275,11,2,27,0,-68.3,0
1788544275,12,3,67,0,65.9,342
1788544275,13,5,123,0,-7.1,78
1788544275,14,6,147,0,-12.5,99
1788544275,15,2,66,0,-3.6,196
1788544275,16,6,148,28,-29.7,355
1788544275,20,2,59,0,-27.2,31
1788544275,21,2,42,0,-28.8,10
1788544275,22,4,92,0,10.8,368
1788544275,8,6,223,3,23.5,200
1788544275,23,1,21,0,-81.5,71
1788544275,24,3,73,0,355.8,995
1788544275,25,3,74,3,-67.5,106
1788544275,28,4,146,38,-1.3,126
1788544275,32,1,12,3,-10.0,0
1788544275,5,13,344,7,-24.0,105
1788544275,6,3,66,4,-107.2,70
1788544275,7,4,96,0,-27.0,71
1788544275,C4,14,420,0,-53.5,177
1788544275,T1,29,696,0,-14.9,219
1788544275,T2,19,342,0,-28.7,88
1788544275,T3,19,266,0,-20.0,144
