commune,lat,lon,population
Le Mans,47.993335,0.191169,148876
Allonnes,47.960493,0.150194,10846
Coulaines,48.030875,0.208443,8226
Arnage,47.930086,0.195402,5548
Sarge-les-le-Mans,48.040678,0.249355,3941
Yvre-l-Eveque,48.026286,0.271411,4269
Champagne,48.014163,0.331368,3728
Ruaudin,47.945001,0.261633,3542
Mulsanne,47.918943,0.248322,5352
Saint-Saturnin,48.054627,0.164448,2864
Rouillon,47.995585,0.141409,2666
La-Milesse,48.06312,0.132381,2650
La-Chapelle-Saint-Aubin,48.035132,0.156778,2319
Saint-Georges-du-Bois,47.972349,0.102337,2308
Trange,48.03046,0.111992,1678
Aigne,48.066061,0.111904,1724
Pruille-le-Chetif,47.990274,0.114073,1357
Chaufour-Notre-Dame,48.024716,0.079083,1187
Fatines,48.047884,0.332902,937
Fay,48.008039,0.074566,770
